"","age_group","year","value"
"312","30-34",1965,110.1
"313","35-39",1965,53
"314","40-44",1965,15
"315","45-49",1965,1.1
"316","15-19",1966,48.9
"317","20-24",1966,173.1
"318","25-29",1966,183.9
"319","30-34",1966,105.1
"320","35-39",1966,50.6
"321","40-44",1966,14.2
"322","45-49",1966,1.1
"323","15-19",1967,48.4
"324","20-24",1967,170.8
"325","25-29",1967,185
"326","30-34",1967,102.8
"327","35-39",1967,47.8
"328","40-44",1967,13.5
"329","45-49",1967,1.1
"330","15-19",1968,48.9
"331","20-24",1968,173.6
"332","25-29",1968,190.8
"333","30-34",1968,103.3
"334","35-39",1968,46.7
"335","40-44",1968,12.9
"336","45-49",1968,1
"337","15-19",1969,49
"338","20-24",1969,174.2
"339","25-29",1969,191.8
"340","30-34",1969,103.5
"341","35-39",1969,45.6
"342","40-44",1969,12.2
"343","45-49",1969,1
"344","15-19",1970,50.9
"345","20-24",1970,172
"346","25-29",1970,189.6
"347","30-34",1970,101.8
"348","35-39",1970,44.9
"349","40-44",1970,11.7
"350","45-49",1970,0.8
"351","15-19",1971,55.5
"352","20-24",1971,181.9
"353","25-29",1971,193.5
"354","30-34",1971,101.8
"355","35-39",1971,44.2
"356","40-44",1971,11.3
"357","45-49",1971,0.8
"358","15-19",1972,54.5
"359","20-24",1972,168.7
"360","25-29",1972,181.7
"361","30-34",1972,94
"362","35-39",1972,38.9
"363","40-44",1972,10
"364","45-49",1972,0.8
"365","15-19",1973,49.1
"366","20-24",1973,155.4
"367","25-29",1973,166.9
"368","30-34",1973,84.2
"369","35-39",1973,33.6
"370","40-44",1973,8.4
"371","45-49",1973,0.6
"372","15-19",1974,44.2
"373","20-24",1974,145.4
"374","25-29",1974,159.3
"375","30-34",1974,78.5
"376","35-39",1974,29.1
"377","40-44",1974,7.2
"378","45-49",1974,0.4
"379","15-19",1975,40.1
"380","20-24",1975,133.9
"381","25-29",1975,149.6
"382","30-34",1975,74.1
"383","35-39",1975,26
"384","40-44",1975,6.1
"385","45-49",1975,0.4
"386","15-19",1976,35.2
"387","20-24",1976,128.2
"388","25-29",1976,146.2
"389","30-34",1976,72.5
"390","35-39",1976,24.1
"391","40-44",1976,5.5
"392","45-49",1976,0.4
"393","15-19",1977,32.1
"394","20-24",1977,122
"395","25-29",1977,145.7
"396","30-34",1977,74.1
"397","35-39",1977,23.9
"398","40-44",1977,5
"399","45-49",1977,0.3
"400","15-19",1978,29.9
"401","20-24",1978,115.8
"402","25-29",1978,144
"403","30-34",1978,73.4
"404","35-39",1978,23.5
"405","40-44",1978,4.5
"406","45-49",1978,0.2
"407","15-19",1979,28.5
"408","20-24",1979,109.1
"409","25-29",1979,142.5
"410","30-34",1979,73.9
"411","35-39",1979,23.6
"412","40-44",1979,4.6
"413","45-49",1979,0.3
"414","15-19",1980,27.6
"415","20-24",1980,107
"416","25-29",1980,141
"417","30-34",1980,75.1
"418","35-39",1980,23.7
"419","40-44",1980,4.4
"420","45-49",1980,0.3
"421","15-19",1981,28.2
"422","20-24",1981,107.5
"423","25-29",1981,145.2
"424","30-34",1981,77.6
"425","35-39",1981,24.5
"426","40-44",1981,4.5
"427","45-49",1981,0.3
"428","15-19",1982,27.4
"429","20-24",1982,103.9
"430","25-29",1982,144.9
"431","30-34",1982,80.6
"432","35-39",1982,25.6
"433","40-44",1982,4.5
"434","45-49",1982,0.3
"435","15-19",1983,26.6
"436","20-24",1983,102.7
"437","25-29",1983,145.9
"438","30-34",1983,81.5
"439","35-39",1983,25
"440","40-44",1983,4.3
"441","45-49",1983,0.2
"442","15-19",1984,23.2
"443","20-24",1984,94.3
"444","25-29",1984,140.4
"445","30-34",1984,81.2
"446","35-39",1984,25
"447","40-44",1984,4.3
"448","45-49",1984,0.3
"449","15-19",1985,22.8
"450","20-24",1985,95.8
"451","25-29",1985,146
"452","30-34",1985,89
"453","35-39",1985,26.9
"454","40-44",1985,4.5
"455","45-49",1985,0.2
"456","15-19",1986,21.8
"457","20-24",1986,90
"458","25-29",1986,141.9
"459","30-34",1986,88.7
"460","35-39",1986,27.2
"461","40-44",1986,4.3
"462","45-49",1986,0.2
"463","15-19",1987,20.6
"464","20-24",1987,85
"465","25-29",1987,139.6
"466","30-34",1987,90.6
"467","35-39",1987,28.9
"468","40-44",1987,4.8
"469","45-49",1987,0.3
"470","15-19",1988,20.3
"471","20-24",1988,81.5
"472","25-29",1988,136.9
"473","30-34",1988,93.3
"474","35-39",1988,30.5
"475","40-44",1988,4.6
"476","45-49",1988,0.2
"477","15-19",1989,20.6
"478","20-24",1989,78.4
"479","25-29",1989,135.4
"480","30-34",1989,96.1
"481","35-39",1989,32.6
"482","40-44",1989,5
"483","45-49",1989,0.2
"484","15-19",1990,22.1
"485","20-24",1990,79.4
"486","25-29",1990,137.9
"487","30-34",1990,101.7
"488","35-39",1990,34.7
"489","40-44",1990,5.5
"490","45-49",1990,0.2
"491","15-19",1991,22.1
"492","20-24",1991,75
"493","25-29",1991,132
"494","30-34",1991,100.2
"495","35-39",1991,36
"496","40-44",1991,5.5
"497","45-49",1991,0.2
"498","15-19",1992,22
"499","20-24",1992,75
"500","25-29",1992,132.5
"501","30-34",1992,104.6
"502","35-39",1992,38.4
"503","40-44",1992,6.2
"504","45-49",1992,0.3
"505","15-19",1993,21
"506","20-24",1993,71.4
"507","25-29",1993,130
"508","30-34",1993,105.6
"509","35-39",1993,38.9
"510","40-44",1993,6.3
"511","45-49",1993,0.2
"512","15-19",1994,20.7
"513","20-24",1994,69.9
"514","25-29",1994,126.2
"515","30-34",1994,105.3
"516","35-39",1994,41.2
"517","40-44",1994,6.7
"518","45-49",1994,0.3
"519","15-19",1995,20.5
"520","20-24",1995,67.4
"521","25-29",1995,122.2
"522","30-34",1995,106.4
"523","35-39",1995,42.4
"524","40-44",1995,7.2
"525","45-49",1995,0.3
"526","15-19",1996,20.2
"527","20-24",1996,65.6
"528","25-29",1996,117.8
"529","30-34",1996,106.1
"530","35-39",1996,43.9
"531","40-44",1996,7.5
"532","45-49",1996,0.3
"533","15-19",1997,19.9
"534","20-24",1997,63.2
"535","25-29",1997,114.4
"536","30-34",1997,107
"537","35-39",1997,45
"538","40-44",1997,7.5
"539","45-49",1997,0.3
"540","15-19",1998,19
"541","20-24",1998,61.8
"542","25-29",1998,112.1
"543","30-34",1998,107.5
"544","35-39",1998,45.7
"545","40-44",1998,8.1
"546","45-49",1998,0.3
"547","15-19",1999,18.6
"548","20-24",1999,61.3
"549","25-29",1999,109.4
"550","30-34",1999,108.6
"551","35-39",1999,47.1
"552","40-44",1999,8.5
"553","45-49",1999,0.3
"554","15-19",2000,17.8
"555","20-24",2000,59.7
"556","25-29",2000,108.8
"557","30-34",2000,110.2
"558","35-39",2000,48.9
"559","40-44",2000,8.8
